student_id,etaM,etaV,true_ability,true_ability_M,true_ability_V,eta_SAT_M,eta_SAT_V,wealth_pct,C_i,rule,mean_score,score_std,mean_score_M,mean_score_V,score_std_M,score_std_V,mean_effort,mean_effort_r1,mean_effort_r2,effort_r1,effort_r2,snr,retake_rate,access_premium,mean_score_SAT,mean_score_M_SAT,mean_score_V_SAT
0,0.7148901915807169,0.46187124238871224,1.1767614339694292,0.7148901915807169,0.46187124238871224,628.9341149484301,477.12274543322735,0.3745401188473625,0.13505518573831649,SS,0.4547594156629436,0.14032545167756358,0.6627245335397629,0.24679429778612433,0.22570321082583417,0.23126323941984134,1.5332142857142856,1.0714285714285714,0.46178571428571424,1.0714285714285714,0.46178571428571424,2.5876571071188454,0.465,0.014434064410133007,945.7112987955323,597.6347201238577,348.0765786716746
0,0.7148901915807169,0.46187124238871224,1.1767614339694292,0.7148901915807169,0.46187124238871224,628.9341149484301,477.12274543322735,0.3745401188473625,0.13505518573831649,SC,0.5229306346149734,0.13927335084418924,0.6473542243107587,0.3985070449191879,0.20138471168389488,0.20855901645411748,1.7608928571428573,1.0714285714285714,0.6894642857142855,1.0714285714285714,0.6894642857142855,2.250320321806854,0.765,0.08260528336216277,1027.516761537968,588.4125345864552,439.1042269515127
0,0.7148901915807169,0.46187124238871224,1.1767614339694292,0.7148901915807169,0.46187124238871224,628.9341149484301,477.12274543322735,0.3745401188473625,0.13505518573831649,TAX,0.3601894167342611,0.12363378490747139,0.6029583040883331,0.15809028446408335,0.23503226919746445,0.1855038673894936,1.1935714285714283,1.0714285714285714,0.12214285714285714,1.0714285714285714,0.12214285714285714,3.2670627711352633,0.19,-0.0801359345185495,832.2273000811133,561.7749824529999,294.85417067845003
0,0.7148901915807169,0.46187124238871224,1.1767614339694292,0.7148901915807169,0.46187124238871224,628.9341149484301,477.12274543322735,0.3745401188473625,0.13505518573831649,FISC,0.3396510532446422,0.13966013130155075,0.5646300830536528,0.13356488693186025,0.24765371412303183,0.17156497495084813,1.1169642857142856,1.0714285714285714,0.04553571428571429,1.0714285714285714,0.04553571428571429,3.464618827846935,0.045,-0.1006742980081684,807.5812638935706,538.7780498321918,280.13893215911617
0,0.7148901915807169,0.46187124238871224,1.1767614339694292,0.7148901915807169,0.46187124238871224,628.9341149484301,477.12274543322735,0.3745401188473625,0.13505518573831649,Contextual,0.3417026095464717,0.1347124305979568,0.6498907828818409,0.21096767451989604,0.21787692344028853,0.21023200211804324,1.3848214285714284,1.0714285714285714,0.3133928571428571,1.0714285714285714,0.3133928571428571,3.443817521707832,0.32,-0.09862274170633889,810.043131455766,589.9344697291045,326.5806047119376
1,0.712185951408942,0.9462921122889302,1.6584780636978722,0.712185951408942,0.9462921122889302,627.3115708453652,767.7752673733581,0.9507143064099162,0.06591428323081006,SS,0.6543469521878342,0.15600216274858114,0.6026648565554801,0.7060290478201882,0.242109798845001,0.2260845028690093,2.2623214285714286,1.3928571428571428,0.8694642857142856,1.3928571428571428,0.8694642857142856,2.5345545786569144,0.77,0.09372112143008726,1185.216342625401,561.598913933288,623.617428692113
1,0.712185951408942,0.9462921122889302,1.6584780636978722,0.712185951408942,0.9462921122889302,627.3115708453652,767.7752673733581,0.9507143064099162,0.06591428323081006,SC,0.7095319762120469,0.15680682863383072,0.6550454705266219,0.7640184818974717,0.21474622311474634,0.2059365130223173,2.4380357142857143,1.3928571428571428,1.0451785714285715,1.3928571428571428,1.0451785714285715,2.337425400546329,0.955,0.14890614545429992,1251.4383714544563,593.0272823159731,658.411089138483
1,0.712185951408942,0.9462921122889302,1.6584780636978722,0.712185951408942,0.9462921122889302,627.3115708453652,767.7752673733581,0.9507143064099162,0.06591428323081006,TAX,0.5617343057815657,0.13200544345893656,0.5571554597836695,0.694262739082587,0.2436392962716708,0.2258944051762116,2.0217857142857145,1.6071428571428572,0.41464285714285715,1.6071428571428572,0.41464285714285715,2.9524243875231346,0.51,0.0011084750238187224,1074.0811669378788,534.2932758702018,616.5576434495522
1,0.712185951408942,0.9462921122889302,1.6584780636978722,0.712185951408942,0.9462921122889302,627.3115708453652,767.7752673733581,0.9507143064099162,0.06591428323081006,FISC,0.523923317687201,0.1630220908781371,0.5421444381249089,0.6433550648576473,0.2298226928486529,0.23982414543800012,1.9333928571428571,1.6071428571428572,0.32625,1.6071428571428572,0.32625,3.165497712564182,0.31,-0.03670251307054595,1028.7079812246411,525.2866628749453,586.0130389145884
1,0.712185951408942,0.9462921122889302,1.6584780636978722,0.712185951408942,0.9462921122889302,627.3115708453652,767.7752673733581,0.9507143064099162,0.06591428323081006,Contextual,0.42136564899891554,0.1579671191266333,0.5619982205181333,0.6628625200718045,0.2298403254855453,0.22967851052914276,1.9971428571428576,1.6071428571428572,0.39,1.6071428571428572,0.39,3.935959344664426,0.375,-0.13926018175883143,905.6387787986987,537.19893231088,597.7175120430827
2,0.4679094610089486,0.8131461310911209,1.2810555921000695,0.4679094610089486,0.8131461310911209,480.74567660536917,687.8876786546725,0.7319939418114051,0.09216072698263139,SS,0.5142364265140524,0.13728530775270317,0.33422692888107947,0.6942459241470255,0.26693811991334027,0.2423862876818349,1.880892857142857,1.1785714285714284,0.7023214285714287,1.1785714285714284,0.7023214285714287,2.491180177149629,0.625,0.049121881685603164,1017.0837118168629,400.5361573286477,616.5475544882153
2,0.4679094610089486,0.8131461310911209,1.2810555921000695,0.4679094610089486,0.8131461310911209,480.74567660536917,687.8876786546725,0.7319939418114051,0.09216072698263139,SC,0.5906043902931635,0.15021782740519407,0.45778568808321113,0.7234230925031159,0.24760203806778974,0.2019960877476584,2.113392857142857,1.2857142857142856,0.8276785714285714,1.2857142857142856,0.8276785714285714,2.169058701822688,0.845,0.1254898454647142,1108.7252683517963,474.6714128499267,634.0538555018695
2,0.4679094610089486,0.8131461310911209,1.2810555921000695,0.4679094610089486,0.8131461310911209,480.74567660536917,687.8876786546725,0.7319939418114051,0.09216072698263139,TAX,0.412129219406561,0.11257923784692207,0.17839772605058443,0.7119180920377015,0.21882377338179226,0.21563661721924815,1.4223214285714283,1.1785714285714286,0.24374999999999994,1.1785714285714286,0.24374999999999994,3.108383321970486,0.325,-0.052985325421888274,894.5550632878733,307.03863563035065,627.150855222621
2,0.4679094610089486,0.8131461310911209,1.2810555921000695,0.4679094610089486,0.8131461310911209,480.74567660536917,687.8876786546725,0.7319939418114051,0.09216072698263139,FISC,0.38079501927803255,0.13470972976791368,0.13856376801178213,0.66965062892769,0.19641340652883899,0.21400190004806596,1.2958928571428572,1.1785714285714286,0.11732142857142858,1.1785714285714286,0.11732142857142858,3.364160577858618,0.105,-0.08431952555041672,856.9540231336391,283.1382608070693,601.790377356614
2,0.4679094610089486,0.8131461310911209,1.2810555921000695,0.4679094610089486,0.8131461310911209,480.74567660536917,687.8876786546725,0.7319939418114051,0.09216072698263139,Contextual,0.2861833788915339,0.12779931268890388,0.17515990263063586,0.7016395612508975,0.2227150225281081,0.19469711506626944,1.4191071428571427,1.1785714285714286,0.24053571428571427,1.1785714285714286,0.24053571428571427,4.476345191890411,0.215,-0.17893116593691538,743.4200546698407,305.0959415783815,620.9837367505386
3,0.3681830974790403,0.5584039281783859,0.9265870256574262,0.3681830974790403,0.5584039281783859,420.90985848742423,535.0423569070315,0.5986584841970366,0.1081609818963556,SS,0.391582073405209,0.13790743459186092,0.1704768627583438,0.6126872840520743,0.17874132552494704,0.21930597942361288,1.3580357142857142,0.9642857142857142,0.39375,0.9642857142857142,0.39375,2.3662651806294366,0.54,0.023638048838899473,869.8984880862508,302.2861176550063,567.6123704312446
