student_id,etaM,etaV,true_ability,wealth_pct,C_i,rule,mean_score,mean_effort,mean_effort_r1,mean_effort_r2,snr,retake_rate,score_std,effort_r1,effort_r2,access_premium,wealth_quartile
0,1.5381521521521118,1.2795638290152993,2.817715981167411,0.3745401188473625,0.6378219168068463,SS,0.32994297809974965,0.5284210526315789,0.5263157894736842,0.002105263157894737,8.5400089354699,0.005,0.18052422703226445,0.5263157894736842,0.002105263157894737,-2.4877730030676615,Q2
0,1.5381521521521118,1.2795638290152993,2.817715981167411,0.3745401188473625,0.6378219168068463,SC,0.32994297809974965,0.5284210526315789,0.5263157894736842,0.002105263157894737,8.5400089354699,0.005,0.18052422703226445,0.5263157894736842,0.002105263157894737,-2.4877730030676615,Q2
0,1.5381521521521118,1.2795638290152993,2.817715981167411,0.3745401188473625,0.6378219168068463,TAX,0.32860878976331054,0.5278947368421052,0.5263157894736842,0.0015789473684210526,8.574682324221905,0.005,0.18014527796446103,0.5263157894736842,0.0015789473684210526,-2.4891071914041003,Q2
0,1.5381521521521118,1.2795638290152993,2.817715981167411,0.3745401188473625,0.6378219168068463,FISC,0.3289456223987461,0.5284210526315789,0.5263157894736842,0.002105263157894737,8.565902049767336,0.005,0.18005547518141635,0.5263157894736842,0.002105263157894737,-2.488770358768665,Q2
0,1.5381521521521118,1.2795638290152993,2.817715981167411,0.3745401188473625,0.6378219168068463,Contextual,0.2502279084337619,0.5284210526315789,0.5263157894736842,0.002105263157894737,11.260598383306599,0.005,0.18052422703226445,0.5263157894736842,0.002105263157894737,-2.5674880727336493,Q2
1,1.5335347372431518,1.6517741583889465,3.1853088956320983,0.9507143064099162,0.23449998551305873,SS,0.47632649203607513,0.6673684210526315,0.5263157894736842,0.14105263157894737,6.68723858296518,0.335,0.14578756332035847,0.5263157894736842,0.14105263157894737,-2.708982403596023,Q4 (Highest)
1,1.5335347372431518,1.6517741583889465,3.1853088956320983,0.9507143064099162,0.23449998551305873,SC,0.5337323497808268,0.7305263157894737,0.5263157894736842,0.20421052631578945,5.967989193347792,0.485,0.14203371427481176,0.5263157894736842,0.20421052631578945,-2.6515765458512712,Q4 (Highest)
1,1.5335347372431518,1.6517741583889465,3.1853088956320983,0.9507143064099162,0.23449998551305873,TAX,0.3936271712475164,0.5736842105263158,0.5263157894736842,0.047368421052631574,8.092197714748576,0.15,0.13448051435986613,0.5263157894736842,0.047368421052631574,-2.7916817243845817,Q4 (Highest)
1,1.5335347372431518,1.6517741583889465,3.1853088956320983,0.9507143064099162,0.23449998551305873,FISC,0.3648348286436845,0.5515789473684211,0.5263157894736842,0.02526315789473684,8.730824596636925,0.06,0.1519730805505649,0.5263157894736842,0.02526315789473684,-2.820474066988414,Q4 (Highest)
1,1.5335347372431518,1.6517741583889465,3.1853088956320983,0.9507143064099162,0.23449998551305873,Contextual,0.3620731823969799,0.7305263157894737,0.5263157894736842,0.20421052631578945,8.797417346805046,0.485,0.14203371427481176,0.5263157894736842,0.20421052631578945,-2.8232357132351185,Q4 (Highest)
2,1.3591261099134835,1.5684183974622345,2.927544507375718,0.7319939418114051,0.3876042407320165,SS,0.38228482557518895,0.5684210526315789,0.5263157894736842,0.042105263157894736,7.658019130031934,0.1,0.1487613319928968,0.5263157894736842,0.042105263157894736,-2.545259681800529,Q3
2,1.3591261099134835,1.5684183974622345,2.927544507375718,0.7319939418114051,0.3876042407320165,SC,0.3942857628502108,0.5789473684210527,0.5263157894736842,0.05263157894736842,7.424930807070234,0.125,0.14993583298388327,0.5263157894736842,0.05263157894736842,-2.533258744525507,Q3
2,1.3591261099134835,1.5684183974622345,2.927544507375718,0.7319939418114051,0.3876042407320165,TAX,0.3497061617926023,0.5326315789473683,0.5263157894736842,0.00631578947368421,8.371441018851524,0.02,0.15665835832313277,0.5263157894736842,0.00631578947368421,-2.5778383455831158,Q3
2,1.3591261099134835,1.5684183974622345,2.927544507375718,0.7319939418114051,0.3876042407320165,FISC,0.3404317534806422,0.5263157894736841,0.5263157894736842,0.0,8.599504827161152,0.0,0.16496401503104025,0.5263157894736842,0.0,-2.587112753895076,Q3
2,1.3591261099134835,1.5684183974622345,2.927544507375718,0.7319939418114051,0.3876042407320165,Contextual,0.25752931587562894,0.5789473684210527,0.5263157894736842,0.05263157894736842,11.367810679812253,0.125,0.14993583298388324,0.5263157894736842,0.05263157894736842,-2.670015191500089,Q3
3,1.302793914240139,1.3917137542282358,2.6945076684683746,0.5986584841970366,0.4809390610620744,SS,0.2909516676098721,0.4357894736842105,0.42105263157894735,0.014736842105263158,9.261014692245569,0.035,0.16163003986700614,0.42105263157894735,0.014736842105263158,-2.4035560008585026,Q3
3,1.302793914240139,1.3917137542282358,2.6945076684683746,0.5986584841970366,0.4809390610620744,SC,0.29468177884207897,0.4378947368421052,0.42105263157894735,0.016842105263157894,9.143787848221084,0.04,0.16176768337081165,0.42105263157894735,0.016842105263157894,-2.3998258896262956,Q3
